Name,Quantity,Component
"M1",1," DC Motor"
"U2",1," Arduino Uno R3"
"S1, S2",2," Slideswitch"
"U1",1,"MCP23008-based, 32 (0x20) LCD 16 x 2 (I2C)"
"R1, R2, R3, R8",4,"1 kΩ Resistor"
"D2",1,"Red LED"
"D3",1,"Green LED"
"D4",1,"Blue LED"
"R6",1," Photoresistor"
"R5",1,"4.7 kΩ Resistor"
"D5",1,"Yellow LED"
