Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," Temperature Sensor [TMP36]"
"Rpot1",1,"250 kΩ Potentiometer"
"D1",1,"Red LED"
"R3, R1, R2",3,"100 Ω Resistor"
"D2",1,"Green LED"
"D3",1,"Yellow LED"
